0 1 0 ---> 0 0 2	          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			
1 0 0 ---> 0 0 0	          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.52674897119341563786           4.21399176954732510290        -561.38271604938271605000			
1 0 0 ---> 0 0 -1	          1.50000000000000000000          -9.00000000000000000000        2043.00000000000000000000			         -1.50000000000000000000           9.00000000000000000000       -2043.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			
1 0 0 ---> 0 1 0	          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000         -24.00000000000000000000           0.00000000000000000000			
1 0 0 ---> 1 0 0	          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			         -3.00000000000000000000         168.00000000000000000000       -4680.00000000000000000000			
1 0 0 ---> 0 0 1	          1.50000000000000000000          -9.00000000000000000000        2043.00000000000000000000			          1.50000000000000000000          -9.00000000000000000000        2043.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			
1 0 0 ---> 0 0 -2	          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			
1 0 0 ---> 0 1 -1	          0.12512056503197226211         -20.26953153517950646200       -1535.82365562620152430000			         -0.12512056503197226211          20.26953153517950646200        1535.82365562620152430000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			
1 0 0 ---> 1 0 -1	         -1.37632621535169488320         -53.90193941577365051700       27092.42726509502213900000			          1.37632621535169488320          53.90193941577365051700      -27092.42726509502213900000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			
1 0 0 ---> 0 2 0	          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.00000000000000000000           0.00000000000000000000           0.00000000000000000000			          0.04423680000000000000         -18.61926912000000000000        1848.00315801600000000000			
